,G547 N,G547 T,G576 N,G576 T,G652 N,G652 T,G659 N,G659 T,G691 N,G691 T,G696 N,G696 T,G699 N,G699 T,G761 N,G761 T,G850 N,G850 T,G871 N,G871 T,G701 N,G701 T,G013 N,G013 T,G603 N,G603 T,G026 N,G026 T,G220 N,G220 T,G575 N,G575 T,G613 N,G613 T,G702 N,G702 T,G623 N,G623 T,G645 N,G645 T,G529 N,G529 T,G648 N,G648 T,G601 N,G601 T,G727 N,G727 T,G001 N,G001 T,G243 N,G243 T,G531 N,G531 T,G612 N,G612 T,G428 N,G428 T,G699N_2*,G761T_2*
miR-124*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
miR-125a-3p,2,2,8,3,5,5,5,0,6,3,0,0,1,1,26,2,0,1,18,2,6,0,22,6,104,2,4,93,0,9,91,1,54,6,25,0,53,7,133,0,11,50,163,0,15,44,23,0,43,23,122,9,5,14,11,0,0,0,55,0
miR-125a-5p,135,90,426,105,431,61,1048,17,165,48,79,15,14,215,503,2,61,20,606,86,585,31,2554,138,1614,57,97,2308,76,294,1258,8,3549,12,1899,4,3571,43,3774,4,109,2116,3892,5,1045,83,385,15,277,358,5678,19,1573,45,224,5,20,1,265,10
miR-125b,1038,381,5007,1463,2595,201,8036,99,566,105,391,126,94,902,3990,19,442,101,5409,614,4481,329,15099,2249,7859,206,557,10374,195,1299,12838,15,46295,68,24676,26,24188,400,23106,13,1617,10122,30072,6,11698,1134,2113,85,1981,164,49460,101,20860,167,1828,27,106,1,4434,25
miR-125b-1*,2,0,0,1,5,1,12,0,4,0,0,0,0,0,11,0,0,0,2,1,2,0,7,0,25,1,2,20,0,1,31,0,29,3,35,0,29,0,40,0,11,20,46,0,4,8,7,0,33,1,109,3,10,2,3,0,0,0,8,1
miR-125b-2*,2,0,2,58,15,0,15,1,5,1,0,0,0,1,11,0,1,1,21,1,8,0,32,24,35,1,10,193,0,6,76,0,116,16,56,0,61,28,115,0,32,30,112,0,17,44,23,1,10,1,89,1,13,4,5,0,0,0,17,0
miR-126,379,121,248,1136,1160,460,3833,81,691,649,84,37,6,52,1908,3,439,160,1471,329,1395,81,5222,1646,4558,101,1209,5443,155,362,10846,64,8751,800,17487,67,14472,1936,6420,1,3987,9016,12004,8,1043,220,1698,43,12,245,8116,220,2242,832,799,18,377,80,174,38
miR-126*,60,44,34,551,293,47,1620,33,164,48,30,16,2,13,2420,3,356,94,1354,346,1344,98,3648,959,3388,84,842,3633,217,459,16924,115,10924,600,20780,53,10957,1739,10840,1,3053,7217,17003,5,708,71,2134,44,9,23,3952,81,2576,515,1438,15,3,0,119,62
miR-1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-127-3p,15,34,231,126,27,34,158,2,48,42,2,38,3,6,47,11,9,7,139,87,124,14,104,142,133,93,35,953,7,154,226,6,593,45,501,0,730,118,277,15,91,1352,232,1,33,166,74,13,278,256,572,37,41,109,14,10,1,0,66,16
miR-127-5p,0,3,10,5,2,2,5,0,2,3,0,0,0,0,0,1,0,1,5,1,4,1,1,2,4,4,2,32,1,0,11,0,18,1,22,0,29,3,6,2,4,59,10,0,3,15,4,2,15,23,26,2,0,5,0,0,0,0,3,0
miR-1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-128,6,18,6,579,9,14,33,33,7,16,2,1,0,48,36,1,11,74,44,3,12,6,35,88,30,5,183,476,5,29,63,4,196,386,153,69,88,2236,69,0,1022,503,89,0,27,166,8,0,1,85,137,245,36,624,20,4,0,3,8,0
miR-129-3p,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,5,2,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,1,1,2,1,10,0,1,12,2,0,0,0,3,0,10,0,5,0
miR-129-5p,0,0,0,2,0,0,6,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,4,1,10,2,2,16,0,3,123,0,24,4,21,0,8,0,9,0,38,4,7,1,4,1,6,1,5,78,13,0,16,0,12,0,0,0,40,0
miR-129*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,2,0,5,0,0,0,0,0
miR-130a,144,235,299,1041,656,369,1534,173,300,234,44,42,12,504,727,11,47,159,1346,164,759,58,6054,2997,11326,202,1603,4617,36,801,4245,40,5124,169,2257,62,4581,613,3947,58,1051,3499,10086,23,1093,674,1415,72,174,1267,10728,2563,795,896,508,32,7,0,313,11
miR-130a*,0,0,1,2,0,0,1,1,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
miR-130b,3,42,11,92,8,83,24,20,12,74,1,5,1,59,46,6,12,17,83,12,16,1,37,59,139,76,14,1094,1,145,104,8,71,50,79,5,219,114,77,22,347,640,92,8,28,127,14,9,8,892,732,198,9,101,33,12,0,1,19,2
miR-130b*,0,1,1,18,1,4,1,1,0,1,0,0,0,4,7,0,1,16,5,2,2,0,4,11,4,3,5,78,0,7,5,0,20,16,12,7,17,51,8,0,177,55,3,0,4,24,0,1,0,23,41,35,3,20,3,0,4,10,1,0
miR-132,8,6,2,64,13,12,48,6,14,5,2,0,0,11,9,0,2,1,21,1,31,6,31,17,33,5,9,356,1,16,88,1,113,33,192,3,273,64,42,0,47,322,82,1,6,52,8,0,0,6,223,16,27,60,0,1,0,0,8,0
miR-132*,0,1,3,19,7,9,9,1,2,6,3,0,1,0,12,0,0,1,19,0,8,2,41,27,38,1,10,70,1,2,87,1,72,13,109,0,75,32,58,1,14,72,97,1,4,14,14,0,1,7,81,11,9,13,6,0,0,0,9,0
miR-133a,10,2,37,2,38,0,14,0,15,0,3,1,1,0,6,0,0,3,9,2,26,8,17,0,16,6,10,2,201,0,20,1,24,0,22,0,21,0,13,1,1,10,6,0,11,2,8,0,0,5,29,1,9,3,3,0,0,0,29,0
miR-133b,1,0,14,1,15,0,10,0,11,0,2,0,0,0,6,0,0,0,3,0,10,2,17,1,5,0,13,0,137,1,3,0,5,0,18,0,5,2,5,0,0,1,6,0,3,2,11,0,0,0,7,0,2,1,0,0,0,1,6,0
miR-134,0,1,9,4,2,1,0,0,6,0,0,0,0,0,1,0,0,1,4,0,4,1,3,7,5,1,3,24,0,0,5,0,21,8,11,0,24,7,8,1,3,21,5,0,2,16,2,0,12,4,15,3,1,10,0,0,0,0,3,0
miR-135a,0,6,8,14,0,0,3,1,0,2,12,0,0,1,187,0,2,0,32,0,4,0,0,0,3,1,2,73,0,5,1,1,3,2,151,0,3,4,9,0,1057,58,91,0,287,21,0,0,0,12,770,6,408,12,289,0,0,38,14,0
miR-135a*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,4,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,1
miR-135b,2,120,2,563,0,12,2,12,0,59,2,0,0,15,71,0,4,43,25,3,1,0,6,20,1,5,1,799,0,42,0,1,13,31,6,11,8,118,28,1,144,749,64,0,67,84,1,0,0,28,136,139,123,535,46,1,0,1,12,0
miR-135b*,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
miR-136,3,12,74,70,5,12,72,1,32,24,2,2,1,1,20,0,6,4,50,7,25,6,76,109,30,16,28,530,1,53,84,1,212,23,231,2,338,56,87,2,50,1236,137,0,12,94,38,1,19,75,352,14,40,46,13,1,21,0,11,1
miR-136*,1,1,5,11,4,5,9,3,2,2,0,3,0,1,8,1,0,2,3,11,5,0,18,19,6,3,5,33,1,5,35,0,157,17,86,0,43,21,23,1,23,54,26,0,5,6,5,1,3,7,28,3,8,5,2,1,13,0,1,2
miR-137,0,2,0,1,0,0,1,0,0,3,0,0,0,4,1,0,0,0,2,0,5,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,1,0,0,0,0,16,1,0,0,0,0,0,0,15,3,0,0,4,0,0,0,0,0,0
miR-138,1,0,2,1,0,2,0,1,0,2,0,0,0,3,0,1,5,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,4,1,1,0,1,1,1,0,1,11,0,0,5,4,0,0,0,4,3,2,0,6,1,0,0,0,0,0
miR-138-1*,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
miR-139-3p,0,0,8,3,2,0,11,0,0,0,0,0,1,1,1,0,1,0,0,1,2,0,8,0,8,1,3,8,1,0,19,0,0,0,34,0,41,0,3,0,11,10,5,0,1,0,3,0,2,31,135,0,12,0,1,0,0,0,8,0
miR-139-5p,10,0,12,19,13,0,49,0,9,0,0,0,0,0,7,0,12,1,9,8,30,0,51,34,33,3,80,38,3,7,85,1,73,5,141,0,266,29,34,0,112,41,39,0,13,3,12,7,1,40,379,7,33,6,6,0,1,0,22,2
miR-140-3p,40,12,45,213,252,35,181,10,101,37,21,5,5,107,164,0,15,10,104,13,53,5,164,42,257,3,58,421,5,16,289,0,286,30,186,1,638,162,297,2,155,884,583,0,58,167,37,2,48,45,1399,56,102,114,26,3,68,17,91,1
miR-140-5p,30,29,79,92,132,12,324,26,102,11,53,2,3,24,157,1,14,4,213,20,245,15,297,71,302,7,79,326,8,18,1421,3,1189,126,551,3,1204,93,681,8,247,581,1824,1,84,177,276,1,47,21,1470,36,226,50,55,1,18,0,309,4
miR-141,0,206,2,925,3,312,0,200,5,1292,16,7,4,468,495,12,38,429,165,13,2,2,0,142,4,23,14,5576,0,149,5,48,11,447,29,62,31,351,44,4,1276,2039,212,5,400,567,1,1,3,0,1287,708,356,1344,331,11,0,3,29,4
miR-141*,0,7,0,67,0,2,0,9,0,13,1,0,0,16,7,0,0,6,5,0,0,0,0,6,0,1,1,209,0,8,0,3,0,86,0,6,0,80,2,0,74,43,4,1,7,32,0,0,0,0,10,48,7,135,4,0,0,30,2,0
miR-142-3p,4,318,35,2015,90,411,300,588,164,209,33,10,8,4047,93,0,119,244,88,41,154,73,121,1290,36,21,106,3348,11,197,167,21,399,3167,1137,148,783,7640,172,19,517,5334,121,6,179,1968,32,4,4,247,997,1132,231,2339,38,20,14,89,41,4
miR-142-5p,5,17,17,623,28,2810,99,42,28,1330,4,56,1,141,422,55,330,95,176,592,23,50,121,551,107,126,65,2899,51,1299,415,594,706,3641,2196,130,593,5939,797,33,159,8665,344,78,250,796,64,63,2,853,611,311,365,602,227,1046,16,21,53,155
miR-143,6356,2095,11170,6554,11547,935,51377,309,17214,971,2433,263,298,313,22869,46,1403,710,17153,1067,24433,1658,109216,15690,72831,737,52359,16974,872,814,162350,353,407388,5517,233496,575,290717,6716,78022,305,26392,38740,73704,48,17762,9774,26740,246,793,1496,376078,5335,28210,5253,6252,97,42,5,9150,297
miR-143*,4,20,5,15,24,1,115,6,104,1,14,0,3,17,13,0,0,0,8,2,11,1,26,8,17,3,19,44,0,4,7,0,20,0,19,3,65,7,14,0,35,64,36,0,6,24,20,0,2,15,83,10,3,8,3,1,0,0,3,0
miR-144,55,101,42,13,355,50,196,197,86,30,69,3,7,96,279,1,4963,388,41,10,24,8,285,273,203,11,1552,3058,364,7,313,56,341,146,2843,191,2609,284,268,1,454,623,66,4,947,48,24,2,11,3,2273,297,756,172,417,0,0,1,83,5
miR-144*,0,8,0,0,8,2,3,2,0,1,2,0,0,2,2,0,10,3,0,0,0,0,2,0,3,1,3,18,0,0,1,0,0,0,2,0,4,1,2,0,5,3,0,0,6,0,0,0,0,0,6,0,4,1,1,0,0,0,0,0
miR-145,413,2872,1121,38261,1330,115,3504,904,961,169,167,73,39,1525,3907,32,135,8908,2814,316,2211,212,9455,95140,8498,349,359582,10399,71,1328,15128,138,18417,29190,18860,3376,12949,102675,20416,137,172452,13935,22040,26,1446,38519,5352,98,329,2303,32968,23904,3618,55799,2080,100,1,5,1713,44
miR-145*,29,16,100,230,113,3,302,9,73,3,19,2,2,11,508,1,13,24,396,22,222,28,952,458,750,7,1401,248,9,13,2196,5,5153,135,2392,12,2111,242,1664,6,888,533,1090,1,265,143,318,5,6,19,1847,55,414,145,147,1,5,0,178,2
miR-146a,4,88,13,15,21,78,1,50,21,25,2,1,0,237,10,1,3,15,7,8,6,5,18,57,24,19,3,676,2,30,37,3,37,468,98,13,76,649,70,6,24,865,44,0,35,283,10,2,6,54,260,203,34,248,6,4,0,12,41,2
miR-146a*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
miR-146b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
miR-146b-5p,0,26,2,32,3,53,4,12,10,31,8,0,1,63,7,0,2,8,11,2,11,2,14,27,3,5,0,626,0,24,21,2,42,130,278,7,101,442,51,0,41,1020,59,1,41,146,0,2,5,35,342,90,36,182,5,1,1,17,4,0
